"id","latitude","longitude","type","brand","taken","pickedup","imageUri","ByteArrayImage","X"
"24","'7A805565-D20B-484E-B8B1-0ABE5A589089'",52.385036,4.878944," Aluminium blikje"," AH"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150329_144940_16988308541_l.jpg'"," ''",NA
"25","'E9DF0F6E-7FB8-42AE-96C1-600BD9705F8E'",52.38488,4.879227," Aluminium blikje"," Heineken"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150329_145008_16369106153_l.jpg'"," ''",NA
"26","'AF19784A-B182-4F2A-BD8C-C6EB1579D065'",52.348161,4.859025," Aluminium blikje"," Amstel"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150330_100006_16781820127_l.jpg'"," ''",NA
"27","'987B33F3-175F-4C0D-8BAC-4B86BE0A3AE1'",52.362725,4.940961," Pouch"," Capri-Sonne"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150331_170350_1_16997025652_l.jpg'"," ''",NA
"28","'58B562D7-5390-456E-BC82-539F291946D8'",52.362725,4.940961," Kleine PET-fles"," Anders"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150331_170432_1_16812213069_l.jpg'"," ''",NA
"29","'C1886159-8EF4-4CD4-BA01-06CBEAB544BC'",52.362725,4.940961," Aluminium blikje"," Bullit"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150331_170436_16997024282_l.jpg'"," ''",NA
"30","'79A0331C-C70D-4E47-BDEA-A54B8359548E'",52.363108,4.941083," Aluminium blikje"," Anders"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150331_170611_16810672948_l.jpg'"," ''",NA
"31","'4FFE41C5-FC6A-480F-93D1-88114A284C33'",52.363108,4.941083," Aluminium blikje"," Anders"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150331_170624_16997005462_l.jpg'"," ''",NA
"32","'19E63DF2-FDD2-41DF-ABC3-47402839EA1C'",52.363108,4.945877," Aluminium blikje"," Anders"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150331_171128_16997004592_l.jpg'"," ''",NA
"33","'89629887-3922-4003-96C9-88EE333783EF'",52.363108,4.945877," Aluminium blikje"," Bullit"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150331_171142_1_16812227899_l.jpg'"," ''",NA
